shell,N,diffusion_diameter,lambda1
G0,2,0.9999999999999999,2.0
G1,6,1.4142135623730947,0.7639320225002105
G2,14,1.4577379737113252,0.4955416775353879
G3,30,1.4469796128487784,0.39127188607178276
G4,62,1.4334181176474639,0.34315222400409184
G5,126,1.4288690166235203,0.3191954206969409
G6,254,1.4288690166235203,0.3069246233687081
G7,510,1.4288690166235212,0.3006049265529222
G8,1022,1.428869016623522,0.2973633612162265
G9,2046,1.428869016623525,0.29571166627265216
G10,4094,1.428869016623525,0.2948752056250475
