class_i,L0,R0,L1,R1,L2,R2,L3,R3,L4,R4
L0,0.0,1.0000000000000022,1.6666666666666654,1.8333333333333313,1.9999999999999971,1.999999999999997,2.041666666666664,2.020833333333331,2.0312499999999973,2.054687499999998
R0,0.9999999999999967,0.0,0.666666666666665,0.8333333333333317,0.9999999999999986,0.9999999999999984,1.0416666666666656,1.0208333333333326,1.0312499999999993,1.0546874999999993
L1,1.6666666666666639,0.6666666666666655,0.0,0.4999999999999999,0.6666666666666666,0.6666666666666665,0.7083333333333338,0.6875000000000007,0.6979166666666673,0.7213541666666674
R1,1.8333333333333308,0.8333333333333323,0.5000000000000002,0.0,0.33333333333333337,0.33333333333333337,0.37500000000000017,0.3541666666666669,0.3645833333333336,0.3880208333333336
L2,1.9999999999999962,0.9999999999999979,0.6666666666666662,0.33333333333333287,0.0,0.25,0.2916666666666669,0.27083333333333354,0.2812500000000002,0.3046875000000002
R2,1.9999999999999971,0.9999999999999983,0.6666666666666665,0.33333333333333315,0.24999999999999994,0.0,0.16666666666666657,0.14583333333333337,0.15625,0.17968749999999994
L3,2.041666666666664,1.0416666666666652,0.7083333333333335,0.375,0.2916666666666668,0.16666666666666657,0.0,0.12500000000000003,0.13541666666666669,0.15885416666666669
R3,2.0208333333333304,1.020833333333332,0.6875000000000002,0.35416666666666663,0.2708333333333333,0.14583333333333331,0.12500000000000003,0.0,0.0833333333333334,0.10677083333333333
L4,2.0312499999999973,1.0312499999999987,0.6979166666666667,0.3645833333333336,0.2812499999999999,0.15624999999999994,0.13541666666666677,0.0833333333333334,0.0,0.10156250000000001
R4,2.054687499999997,1.0546874999999984,0.7213541666666665,0.38802083333333326,0.30468749999999994,0.17968749999999994,0.1588541666666667,0.10677083333333337,0.10156250000000006,0.0
