transition,TV,L1,L2,Wasserstein1_diffusion
G0_to_G1,0.7142857142857142,1.4285714285714284,0.6308400618805605,0.8217735336196352
G1_to_G2,0.6451612903225805,1.290322580645161,0.37945048571868933,0.5833984359437663
G2_to_G3,0.6299212598425195,1.259842519685039,0.2515051414724791,0.40085902049812033
G3_to_G4,0.6262230919765166,1.2524461839530332,0.17469815156470117,0.2721689940381339
G4_to_G5,0.625305324865657,1.250610649731314,0.12294821008948026,0.18554826816865091
G5_to_G6,0.6250763032596753,1.2501526065193507,0.0868315971304656,0.12778728927858848
G6_to_G7,0.6250190740684225,1.250038148136845,0.061380185125328286,0.08885790283327816
G7_to_G8,0.625004768407962,1.250009536815924,0.04339895335795484,0.0622176759414461
G8_to_G9,0.6250011920951692,1.2500023841903385,0.030687092040545653,0.043754472843150476
G9_to_G10,0.625000298023366,1.250000596046732,0.021698944193952293,0.03084810977296999
