class_i,L0,R0,L1,R1,L2,R2,L3,R3,L4,R4
L0,2.1073424255447017e-08,1.0000000000000002,1.2909944487358058,1.35400640077266,1.414213562373095,1.414213562373095,1.4288690166235203,1.4215601757693312,1.425219281373922,1.4334181176474639
R0,1.0000000000000002,0.0,0.816496580927726,0.9128709291752769,1.0,0.9999999999999999,1.0206207261596574,1.010362971081845,1.0155048005794947,1.026979795322186
L1,1.2909944487358058,0.816496580927726,0.0,0.7071067811865472,0.8164965809277255,0.8164965809277257,0.8416254115301728,0.8291561975888495,0.835414068990142,0.8493257129433122
R1,1.35400640077266,0.9128709291752769,0.7071067811865472,0.0,0.5773502691896256,0.5773502691896255,0.6123724356957942,0.5951190357119039,0.6038073644245596,0.6229131828219185
L2,1.414213562373095,1.0,0.8164965809277255,0.5773502691896256,7.450580596923828e-09,0.4999999999999996,0.5400617248673212,0.5204164998665329,0.5303300858899103,0.55198505414549
R2,1.414213562373095,0.9999999999999999,0.8164965809277257,0.5773502691896255,0.4999999999999996,0.0,0.4082482904638628,0.38188130791298663,0.39528470752104733,0.4238956239453292
L3,1.4288690166235203,1.0206207261596574,0.8416254115301728,0.6123724356957942,0.5400617248673212,0.4082482904638628,0.0,0.3535533905932736,0.3679900360969936,0.39856513478560385
R3,1.4215601757693312,1.010362971081845,0.8291561975888495,0.5951190357119039,0.5204164998665329,0.38188130791298663,0.3535533905932736,3.725290298461914e-09,0.2886751345948129,0.3267580654449609
L4,1.425219281373922,1.0155048005794947,0.835414068990142,0.6038073644245596,0.5303300858899103,0.39528470752104733,0.3679900360969936,0.2886751345948129,0.0,0.3186887195995492
R4,1.4334181176474639,1.026979795322186,0.8493257129433122,0.6229131828219185,0.55198505414549,0.4238956239453292,0.39856513478560385,0.3267580654449609,0.3186887195995492,0.0
