shell,N,E,lambda_1,lambda_max,diffusion_diam,mean_pairwise_diffusion
G0,2,1,2.0,2.0,0.9999999999999999,0.9999999999999999
G1,6,7,0.7639320225002105,5.236067977499789,1.4142135623730947,1.0083928059141256
G2,14,31,0.4955416775353879,10.494076013902085,1.4577379737113252,0.8229781469338853
G3,30,127,0.39127188607178276,20.988161828823813,1.4469796128487784,0.6314669252555183
G4,62,511,0.34315222400409184,41.97632365780508,1.4334181176474639,0.4678957668663597
G5,126,2047,0.3191954206969409,83.95264731561022,1.4288690166235203,0.3394389663658114
G6,254,8191,0.3069246233687081,167.90529463122044,1.4288690166235203,0.2431753138043728
G7,510,32767,0.3006049265529222,335.81058926244077,1.4288690166235212,0.1729781893990962
G8,1022,131071,0.2973633612162265,671.6211785248817,1.428869016623522,0.1225820858662031
G9,2046,524287,0.29571166627265216,1343.242357049764,1.428869016623525,0.08670945382805645
G10,4094,2097151,0.2948752056250475,2686.484714099528,1.428869016623525,0.061286779176171265
